Time,Diameter
0,671.0526316
2.626091047,776.3157895
5.265117859,901.3157895
7.836199237,947.3684211
10.47587937,1039.473684
13.11725814,1046.052632
15.61791146,1138.157895
18.25850625,1184.210526
20.90014634,1177.631579
23.4724037,1164.473684
26.11143051,1289.473684
28.68238123,1342.105263
31.18460252,1355.263158
33.82493597,1414.473684
36.46631474,1421.052632
39.10860816,1381.578947
41.68047353,1388.157895
44.25168557,1427.631579
46.89254168,1460.526316
49.4653217,1421.052632
52.03405112,1585.526316
54.74559661,1559.210526
57.24794857,1565.789474
59.81798463,1664.473684
